T2M_Actual,T2M_Predicted,WS10M_RANGE_Actual,WS10M_RANGE_Predicted,RH2M_Actual,RH2M_Predicted
12.42,2.516188951488465,3.8299999999999996,0.8552771787311739,23.740000000000002,5.21901956507976
24.26,2.5249328047641098,7.559999999999999,0.845641261323464,18.09,5.4624647126470975
19.36,2.512928890966315,4.55,0.8514482498303587,76.42,5.226388171142632
22.89,2.5100926814337106,4.1,0.8527511234884572,54.64,5.234318199077928
20.3,2.512383507593081,3.8,0.8544041940134182,78.07,5.202943014390775
17.18,2.5072655034149083,3.41,0.8543738643654,76.24,5.154937442687075
24.49,2.5209533319438417,4.33,0.8519303305846797,55.43,5.2532483689191585
22.21,2.5201540680680545,4.74,0.8567546092783792,19.45,5.314546677636397
19.36,2.507989628519029,2.74,0.8566128287345417,94.81,5.117716914885688
20.34,2.515102019046549,5.059999999999999,0.8493979686211935,59.88000000000001,5.251168555821021
13.789999999999997,2.5089966286246117,4.04,0.8553785250934611,31.19,5.2514319912055925
17.03,2.504591671802384,3.24,0.8533916985709348,87.33,5.144632474796237
19.11,2.511845322897646,2.86,0.8594551416528065,76.61,5.174384179145094
24.2,2.523705865573422,5.11,0.8508351437690087,61.6,5.295314640661724
22.17,2.517667678655041,3.3,0.8567265857230044,75.35,5.192087937736824
22.47,2.5207788456264426,5.419999999999999,0.8505541480640294,30.930000000000003,5.300073958724646
22.36,2.523962180731877,4.82,0.8510659963916537,30.54,5.294884714689636
10.09,2.515432584968869,3.9900000000000007,0.8568033187158853,26.96,5.246132985155029
17.58,2.513525775580534,3.1,0.8552337952457769,79.83,5.149881193334577
18.43,2.5080354376384464,2.47,0.8578645985362146,88.94,5.129251399226569
14.27,2.510264823782235,3.64,0.8554198391596792,31.35,5.205642495570456
21.91,2.5208790593726396,5.129999999999999,0.853892660918641,81.28,5.31412429884298
14.24,2.512033403055769,3.69,0.8552115002366892,44.14,5.189905717649602
23.22,2.517268691491269,4.68,0.8530992394448207,71.46,5.283802002811084
20.12,2.5099250046707864,3.05,0.8564815556602302,84.97,5.165255531116869
19.66,2.5107323704117035,4.4,0.8522422130664224,83.43,5.22746644071002
24.45,2.5215084148002562,5.27,0.8493517955981258,50.46,5.286184839237653
22.02,2.5206562223117057,4.65,0.8520053138337003,53.160000000000004,5.268020249226783
21.74,2.514087066583426,3.71,0.858619749565136,78.73,5.236294286953461
19.82,2.512684500719994,3.59,0.8532008658208239,75.01,5.186366329818362
20.73,2.515382107338419,3.9,0.8559587631487183,87.09,5.211741928042387
15.019999999999998,2.512665401968684,3.23,0.8575776254567584,51.830000000000005,5.162495682204573
16.25,2.5121298538591184,3.37,0.8562846045561519,36.39,5.181812554901838
20.72,2.5134314962821755,4.73,0.8488277140448336,58.489999999999995,5.280618894466258
13.12,2.501852070990088,3.41,0.8557668949265973,87.84,5.157019624943914
10.34,2.510995805229109,5.279999999999999,0.8511782934577683,23.400000000000002,5.312545077639227
20.16,2.5153213715516576,2.88,0.8570105010223419,88.27,5.151870751878654
19.35,2.5145310972161585,2.75,0.8577811418734215,88.6,5.152595497014589
18.79,2.523942377088047,5.569999999999999,0.850492134678394,22.14,5.34317858225725
20.82,2.511433086265046,2.97,0.8565899561670971,75.66,5.153760418558019
10.48,2.5135312840788275,3.28,0.8582530406774562,31.440000000000005,5.216041669227661
18.85,2.5223675043718523,5.41,0.8522362228410385,19.65,5.341978265268313
24.17,2.531733946398022,5.27,0.8504155905653423,22.46,5.317552300417146
22.27,2.5266737222438724,4.3,0.8482387684199982,73.17,5.235316107044093
23.6,2.5245507621192385,4.26,0.8545810912830785,46.64,5.261158292092108
21.87,2.5119076242379643,3.49,0.8557854944627022,80.64,5.185863258331632
11.39,2.5087571835412685,2.75,0.8601873466623648,69.88,5.156230389864719
15.53,2.5147060566836235,3.29,0.8581481598736778,42.32,5.212502836721249
20.36,2.5172130330026925,2.95,0.8552508082023933,91.56,5.154381396815323
22.27,2.519716206122609,3.85,0.8507964990240569,86.6,5.218880858254606
17.82,2.5116547133309948,2.42,0.8522408142871548,91.99,5.072314739948666
11.82,2.508851833362385,2.4,0.8600517543301983,29.7,5.148997495524121
12.17,2.5050865452703337,3.72,0.8566139022111648,82.88,5.172878947492428
17.82,2.518401499629796,4.23,0.851990879388089,53.11999999999999,5.255714000432282
13.719999999999999,2.513160689422535,3.7,0.8545483367504138,76.24,5.204589329044156
17.06,2.5167992290820465,5.21,0.8487894279761652,45.85,5.281169272583681
9.94,2.507455348591694,2.56,0.8607211931965676,57.26,5.151992672474017
19.84,2.5099266153677116,2.53,0.859831529187934,88.52,5.138445944437139
7.779999999999999,2.512822788797212,3.55,0.8600126518708493,67.09,5.276344676192576
