DATE,DISTRICT,LAT,LON,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
1/1/1981,Kathmandu,27.7,85.3,0.0,84.02,4.1,47.94,9.04,-1.96,15.71,4.73,10.98,6.15,1.74,4.35,0.5,3.85,1.75,3.71,0.68,3.03
1/2/1981,Kathmandu,27.7,85.3,0.0,84.08,4.25,49.83,9.0,-1.47,15.26,5.2,10.06,6.06,1.53,3.96,0.35,3.62,1.48,3.21,0.33,2.88
1/3/1981,Kathmandu,27.7,85.3,0.0,84.04,4.72,55.99,8.84,0.11,14.81,5.4,9.41,6.58,1.71,3.7,0.49,3.21,1.8,3.14,0.65,2.49
1/4/1981,Kathmandu,27.7,85.3,0.01,83.96,4.78,60.71,7.81,0.27,13.65,4.33,9.32,6.16,1.86,4.01,0.61,3.4,1.98,3.48,0.89,2.59
1/5/1981,Kathmandu,27.7,85.3,0.34,83.96,4.67,60.83,7.42,-0.08,12.99,3.78,9.21,5.91,1.82,3.75,0.37,3.38,2.04,3.44,0.49,2.95
1/6/1981,Kathmandu,27.7,85.3,0.35,83.85,4.63,61.22,7.21,-0.37,13.34,3.22,10.11,5.82,1.91,4.3,0.48,3.82,2.11,3.94,0.42,3.52
1/7/1981,Kathmandu,27.7,85.3,1.19,83.86,5.1,79.23,4.86,0.95,8.51,2.34,6.18,4.29,1.37,2.24,0.38,1.87,1.61,2.97,0.52,2.45
1/8/1981,Kathmandu,27.7,85.3,0.39,83.95,4.16,63.34,5.19,-1.98,11.59,1.24,10.36,3.56,1.7,3.63,0.3,3.34,1.8,3.06,0.5,2.56
1/9/1981,Kathmandu,27.7,85.3,0.04,84.23,3.71,56.06,5.34,-3.48,11.56,1.57,10.0,3.12,1.78,4.09,0.43,3.66,1.74,3.29,0.58,2.71
1/10/1981,Kathmandu,27.7,85.3,0.0,84.41,3.41,46.95,6.7,-4.55,13.07,2.75,10.32,3.69,1.44,3.7,0.19,3.51,1.44,2.99,0.28,2.71
1/11/1981,Kathmandu,27.7,85.3,0.0,84.48,3.09,45.01,5.93,-5.99,11.76,2.8,8.96,2.56,1.24,3.6,0.2,3.41,1.44,3.4,0.29,3.11
1/12/1981,Kathmandu,27.7,85.3,0.06,84.56,4.59,67.05,5.89,-0.61,10.36,2.81,7.55,5.1,1.16,3.06,0.14,2.92,1.19,2.55,0.24,2.31
1/13/1981,Kathmandu,27.7,85.3,4.03,84.42,5.33,77.48,5.93,1.67,10.98,2.77,8.2,5.03,1.41,2.27,0.51,1.76,1.69,2.47,0.65,1.82
1/14/1981,Kathmandu,27.7,85.3,0.0,84.37,4.0,53.61,7.09,-2.54,14.4,1.64,12.76,4.57,1.9,4.24,1.02,3.22,1.97,3.79,1.02,2.77
1/15/1981,Kathmandu,27.7,85.3,0.0,84.52,3.17,39.82,8.07,-5.25,15.64,2.4,13.24,4.97,1.94,3.82,0.76,3.05,1.97,3.19,1.04,2.14
1/16/1981,Kathmandu,27.7,85.3,0.0,84.63,3.23,35.44,10.12,-4.87,17.74,5.07,12.67,6.23,1.75,3.71,0.52,3.18,1.8,3.03,0.64,2.38
1/17/1981,Kathmandu,27.7,85.3,0.98,84.61,3.52,35.49,11.39,-3.77,18.54,7.81,10.74,7.1,1.6,3.48,0.5,2.98,1.69,2.98,0.6,2.38
1/18/1981,Kathmandu,27.7,85.3,0.28,84.28,3.65,39.85,10.12,-3.34,15.81,7.0,8.81,7.35,1.45,3.69,0.29,3.4,1.51,2.97,0.43,2.55
1/19/1981,Kathmandu,27.7,85.3,0.09,84.08,4.41,54.46,8.25,-0.63,13.1,4.68,8.42,6.9,1.66,3.86,0.32,3.54,1.69,3.13,0.44,2.69
1/20/1981,Kathmandu,27.7,85.3,0.01,84.22,4.12,50.71,8.31,-1.85,15.52,3.64,11.88,6.12,2.11,4.64,0.71,3.93,2.23,4.04,1.01,3.03
1/21/1981,Kathmandu,27.7,85.3,0.0,84.19,4.32,53.57,8.21,-1.01,13.3,5.03,8.27,5.64,1.53,3.3,0.27,3.03,1.59,2.71,0.25,2.47
1/22/1981,Kathmandu,27.7,85.3,0.03,84.01,4.62,59.86,7.53,-0.08,12.81,4.23,8.58,6.34,1.95,3.95,0.77,3.18,2.08,3.39,1.03,2.36
1/23/1981,Kathmandu,27.7,85.3,0.23,84.01,4.51,60.66,6.98,-0.53,12.23,3.28,8.94,5.19,1.7,3.02,0.43,2.59,1.96,2.86,0.52,2.35
1/24/1981,Kathmandu,27.7,85.3,10.02,84.16,4.98,75.28,5.3,0.61,10.25,3.18,7.07,4.21,2.24,4.56,1.16,3.4,2.96,4.58,1.71,2.87
1/25/1981,Kathmandu,27.7,85.3,8.9,84.34,5.67,81.64,6.04,2.15,11.33,2.76,8.57,4.56,1.33,2.38,0.26,2.12,1.63,2.89,0.19,2.69
1/26/1981,Kathmandu,27.7,85.3,0.4,84.51,3.54,49.08,6.62,-4.45,13.77,1.29,12.47,3.47,1.85,3.2,0.27,2.94,1.98,2.79,0.25,2.55
1/27/1981,Kathmandu,27.7,85.3,0.0,84.41,3.43,46.13,7.04,-4.47,14.53,2.19,12.35,4.14,2.16,4.7,1.02,3.68,2.37,4.47,1.42,3.05
1/28/1981,Kathmandu,27.7,85.3,0.0,84.38,3.86,48.88,7.94,-2.8,15.69,2.22,13.46,5.55,2.0,4.09,0.77,3.32,2.14,3.73,1.12,2.61
1/29/1981,Kathmandu,27.7,85.3,0.0,84.07,4.79,56.88,8.81,0.17,15.39,4.87,10.52,6.59,1.92,4.58,0.43,4.15,2.01,4.17,0.58,3.6
1/30/1981,Kathmandu,27.7,85.3,0.02,83.96,5.47,67.43,8.23,2.03,13.42,4.76,8.67,6.67,1.77,3.92,0.57,3.35,1.82,3.48,0.58,2.9
1/31/1981,Kathmandu,27.7,85.3,0.3,84.12,4.83,63.95,7.24,-0.08,13.64,2.25,11.4,6.1,2.15,3.4,0.93,2.47,2.39,3.09,1.2,1.9
2/1/1981,Kathmandu,27.7,85.3,0.09,84.2,4.81,62.36,7.54,0.1,12.87,3.63,9.25,6.43,1.75,3.59,0.49,3.1,1.86,3.22,0.54,2.68
2/2/1981,Kathmandu,27.7,85.3,0.03,84.21,4.04,53.43,7.26,-2.54,14.78,2.05,12.73,5.58,2.23,4.55,0.73,3.82,2.29,3.96,1.1,2.87
2/3/1981,Kathmandu,27.7,85.3,0.0,84.28,3.9,48.46,8.18,-2.72,15.35,3.5,11.85,5.98,1.94,4.22,0.82,3.39,2.03,3.66,1.06,2.59
2/4/1981,Kathmandu,27.7,85.3,0.0,84.23,4.23,47.57,9.65,-1.42,16.77,4.19,12.58,7.38,2.15,5.07,0.98,4.09,2.28,4.66,1.0,3.65
2/5/1981,Kathmandu,27.7,85.3,0.0,84.35,4.49,43.93,11.78,-0.63,18.89,7.04,11.85,8.85,2.24,5.11,0.99,4.13,2.48,5.03,1.16,3.87
2/6/1981,Kathmandu,27.7,85.3,0.48,84.46,5.0,48.33,11.96,0.79,19.06,7.32,11.74,9.96,2.72,5.92,1.17,4.76,3.34,6.28,1.57,4.71
2/7/1981,Kathmandu,27.7,85.3,0.05,84.19,4.91,52.34,10.46,0.52,17.5,5.43,12.07,9.18,2.51,4.62,1.09,3.53,2.86,4.43,1.54,2.89
2/8/1981,Kathmandu,27.7,85.3,0.0,84.03,4.1,45.26,9.89,-2.08,16.65,5.95,10.7,8.08,2.02,4.58,0.14,4.44,2.03,4.1,0.06,4.04
2/9/1981,Kathmandu,27.7,85.3,0.0,84.08,3.47,41.84,8.6,-3.99,15.12,3.93,11.19,6.85,2.41,4.57,0.67,3.9,2.67,4.35,0.87,3.48
2/10/1981,Kathmandu,27.7,85.3,0.07,83.96,3.46,43.7,7.91,-4.11,15.04,3.72,11.33,6.54,1.82,4.27,0.51,3.76,1.91,3.95,0.46,3.49
2/11/1981,Kathmandu,27.7,85.3,0.01,83.79,3.76,48.37,7.58,-3.28,15.4,1.03,14.37,6.42,2.35,5.15,0.7,4.46,2.35,4.5,0.57,3.93
2/12/1981,Kathmandu,27.7,85.3,0.0,83.83,3.96,45.16,9.38,-2.21,16.32,5.06,11.27,7.5,1.99,4.98,0.12,4.85,1.89,4.12,0.05,4.07
2/13/1981,Kathmandu,27.7,85.3,0.0,83.91,4.19,46.62,9.76,-1.45,17.03,3.89,13.14,8.17,1.8,4.52,0.2,4.32,1.71,3.67,0.3,3.37
2/14/1981,Kathmandu,27.7,85.3,0.0,83.96,4.21,43.58,10.86,-1.53,17.63,6.21,11.41,8.74,2.04,4.75,0.42,4.33,2.1,4.17,0.57,3.6
2/15/1981,Kathmandu,27.7,85.3,0.0,83.92,3.84,37.14,11.87,-2.73,19.34,6.63,12.7,9.56,2.41,5.25,1.03,4.22,2.66,5.04,1.23,3.82
2/16/1981,Kathmandu,27.7,85.3,0.02,84.05,3.6,33.66,12.42,-3.5,20.17,7.11,13.06,10.13,2.42,5.18,0.83,4.34,2.86,5.4,0.8,4.6
2/17/1981,Kathmandu,27.7,85.3,0.01,84.04,3.44,32.39,12.29,-4.06,19.35,8.36,10.99,9.63,2.04,4.62,0.45,4.17,2.14,3.96,0.39,3.57
2/18/1981,Kathmandu,27.7,85.3,0.0,83.96,3.51,32.94,12.35,-3.87,19.11,7.7,11.41,9.57,1.82,4.05,0.64,3.41,1.85,3.48,0.88,2.61
2/19/1981,Kathmandu,27.7,85.3,0.0,84.1,3.69,33.42,12.89,-3.19,20.29,7.89,12.4,10.47,1.91,4.94,0.36,4.58,1.94,4.25,0.48,3.77
2/20/1981,Kathmandu,27.7,85.3,0.0,84.11,3.78,32.89,13.52,-2.81,20.93,9.28,11.65,10.83,1.96,4.86,0.51,4.35,2.06,4.45,0.69,3.76
2/21/1981,Kathmandu,27.7,85.3,0.0,84.03,3.55,32.61,12.66,-3.7,20.19,7.46,12.73,10.37,2.27,4.99,0.73,4.26,2.35,4.37,0.97,3.4
2/22/1981,Kathmandu,27.7,85.3,0.0,84.01,3.56,32.5,12.78,-3.65,20.29,7.31,12.97,10.55,2.18,4.97,0.8,4.17,2.2,4.26,0.89,3.38
2/23/1981,Kathmandu,27.7,85.3,0.0,84.17,3.8,33.27,13.44,-2.71,20.32,8.74,11.58,11.13,2.11,4.94,0.24,4.7,2.11,4.18,0.29,3.89
2/24/1981,Kathmandu,27.7,85.3,0.0,84.19,4.19,35.02,14.16,-1.28,21.84,8.78,13.06,12.13,2.38,5.99,0.8,5.2,2.54,5.76,1.11,4.65
