Instance,T2M_Actual,T2M_Predicted
1,12.42,8.900460301036235
2,24.26,17.378307231936276
3,19.36,13.868360444945775
4,22.89,16.396355043736015
5,20.3,14.541240082668915
6,17.18,12.307991345194568
7,24.49,17.54050387025205
8,22.21,15.911598128371566
9,19.36,13.867436394599437
10,20.34,14.570645565264803
11,13.789999999999997,9.882434731273872
12,17.03,12.20063853754104
13,19.11,13.69105412234054
14,24.2,17.332676426302363
15,22.17,15.879642662923885
16,22.47,16.096618093047923
17,22.36,16.019038388443228
18,10.09,7.231523602268502
19,17.58,12.594432908692092
20,18.43,13.20296256848025
21,14.27,10.225974700092534
22,21.91,15.692997375185236
23,14.24,10.203802391902723
24,23.22,16.63080258752783
25,20.12,14.412447587904976
26,19.66,14.082967386265054
27,24.45,17.511608591000623
28,22.02,15.774343148839602
29,21.74,15.572495760462829
30,19.82,14.19779037357905
31,20.73,14.84815271058705
32,15.019999999999998,10.762007893596031
33,16.25,11.643275933542203
34,20.72,14.843574496764802
35,13.12,9.401123633942046
36,10.34,7.410811895351624
37,20.16,14.440737865599832
38,19.35,13.861168761040172
39,18.79,13.463255477371387
40,20.82,14.913679708358428
41,10.48,7.510965101762836
42,18.85,13.505824774088893
43,24.17,17.313181354241507
44,22.27,15.9511636242502
45,23.6,16.90429655494767
46,21.87,15.664157217861911
47,11.39,8.16241607676058
48,15.53,11.12810229777819
49,20.36,14.583394986478261
50,22.27,15.951393557271519
51,17.82,12.766420695938429
52,11.82,8.47141681379497
53,12.17,8.720544890634876
54,17.82,12.76805118918924
55,13.719999999999999,9.831230925377788
56,17.06,12.223178601689806
57,9.94,7.124163866168202
58,19.84,14.211904358022338
59,7.779999999999999,5.577306198859248
60,23.23,16.64196656934265
61,14.62,10.47561995597172
62,23.61,16.914821154629372
63,9.96,7.138211027317689
64,13.48,9.660467919899602
65,23.51,16.84203818615238
66,19.01,13.616882362004262
67,22.09,15.82134468045268
68,7.339999999999999,5.261560747327216
69,18.93,13.560904588894442
70,15.33,10.985215001679666
71,24.49,17.54237865709559
72,8.81,6.314415570019948
73,20.65,14.793299670603245
74,19.82,14.200705975030747
75,20.52,14.697977999136635
76,17.14,12.27912680936605
77,7.54,5.405251935901681
78,17.07,12.2293554595125
79,10.44,7.481970189521606
80,25.040000000000003,17.9370520649601
81,8.65,6.199763970952765
82,10.7,7.6687325711136385
83,18.45,13.218766387185857
84,11.49,8.234768401738737
85,21.36,15.299309007632223
86,22.47,16.097642480173562
87,21.58,15.456159771181934
88,8.56,6.135173501167265
89,17.91,12.830689043589489
90,18.54,13.28116039241054
91,11.69,8.377818839765542
92,19.33,13.85046895737394
93,19.92,14.269167577459955
