Instance,WS10M_RANGE_Actual,WS10M_RANGE_Predicted
1,3.8299999999999996,2.7198301484672744
2,7.559999999999999,5.367662841790275
3,4.55,3.230935133763875
4,4.1,2.9113239000740427
5,3.8,2.6983742206266075
6,3.41,2.4215583803551026
7,4.33,3.074556174402014
8,4.74,3.36570841311735
9,2.74,1.945758166682611
10,5.059999999999999,3.5929992740726395
11,4.04,2.8688534684353715
12,3.24,2.3008357720591754
13,2.86,2.0308356665717864
14,5.11,3.628303380379112
15,3.3,2.3432907546694617
16,5.419999999999999,3.848514213591929
17,4.82,3.4224072378693995
18,3.9900000000000007,2.833410733358812
19,3.1,2.2013769822257
20,2.47,1.7540010015238319
21,3.64,2.5848598249792394
22,5.129999999999999,3.642535333383037
23,3.69,2.620386710890482
24,4.68,3.3230496114320904
25,3.05,2.165825002794931
26,4.4,3.124409856779054
27,5.27,3.7419916591647433
28,4.65,3.30173508351387
29,3.71,2.6343445478682774
30,3.59,2.5492758160571256
31,3.9,2.769353419542803
32,3.23,2.2937437122147077
33,3.37,2.3931515822599985
34,4.73,3.358498378594343
35,3.41,2.4215860037720867
36,5.279999999999999,3.7493561791441423
37,2.88,2.045085275803034
38,2.75,1.952787979694644
39,5.569999999999999,3.9549725832657248
40,2.97,2.109024986844705
41,3.28,2.3292502464287343
42,5.41,3.841434207767321
43,5.27,3.741958803213475
44,4.3,3.053195799255747
45,4.26,3.02483952270494
46,3.49,2.4782595615151233
47,2.75,1.9528996170881365
48,3.29,2.3362578450446465
49,2.95,2.0947794092257883
50,3.85,2.733710281430371
51,2.42,1.7184741568949482
52,2.4,1.7043653100886147
53,3.72,2.64171937127832
54,4.23,3.003572696474318
55,3.7,2.6274102287172814
56,5.21,3.69954515331125
57,2.56,1.8179752039057353
58,2.53,1.7965914201036506
59,3.55,2.52076430578991
60,4.849999999999999,3.4436991083682815
61,3.0,2.130439825126048
62,4.779999999999999,3.3938888857090403
63,3.87,2.748163042033394
64,4.45,3.1598863723931747
65,4.17,2.9609379526222814
66,3.8299999999999996,2.7197325238666528
67,3.38,2.400098895294358
68,3.69,2.6203238946644287
69,2.73,1.9386260294189737
70,3.56,2.5279863571331282
71,5.9,4.1892374801105365
72,4.33,3.074860264628636
73,8.5,6.035199066952214
74,4.26,3.0248285121665486
75,3.49,2.4782719743192794
76,2.22,1.5765506294436116
77,3.63,2.5776204637449243
78,2.72,1.931599149008313
79,3.8299999999999996,2.719886420003795
80,4.72,3.351428962395621
81,3.62,2.570683861817161
82,2.79,1.9813287199596836
83,5.44,3.862696083411
84,4.8,3.408380475211245
85,3.87,2.748040619951371
86,4.81,3.4153678874953988
87,4.37,3.10305863519821
88,3.66,2.5991670095145376
89,3.45,2.449924617134859
90,3.9,2.7694223934834747
91,4.95,3.515050327578705
92,5.78,4.104103772449379
93,2.51,1.7824174001689252
94,3.67,2.605979394779354
95,5.259999999999999,3.7349993069635574
96,4.15,2.946914929885745
97,4.789999999999999,3.4011619531646455
