Instance,T2M_Actual,T2M_Predicted
1,12.42,8.89938659783136
2,24.26,17.369289537606434
3,19.36,13.874041554657493
4,22.89,16.39717243613947
5,20.3,14.547822425500987
6,17.18,12.312469888729126
7,24.49,17.54540718194909
8,22.21,15.904098206095282
9,19.36,13.87829072586545
10,20.34,14.57351671706191
11,13.789999999999997,9.878562958525663
12,17.03,12.205848075320894
13,19.11,13.693409725105209
14,24.2,17.339624603128694
15,22.17,15.888600889472459
16,22.47,16.09597531158177
17,22.36,16.01574247637831
18,10.09,7.230312805869557
19,17.58,12.600266397542804
20,18.43,13.208948589893017
21,14.27,10.223452983795806
22,21.91,15.701266082983167
23,14.24,10.204018605796572
24,23.22,16.63821777101298
25,20.12,14.419501079950244
26,19.66,14.089051385780937
27,24.45,17.516783350903477
28,22.02,15.774160242129822
29,21.74,15.576972784071938
30,19.82,14.203589254080587
31,20.73,14.858343537262362
32,15.019999999999998,10.763793772810965
33,16.25,11.64293796768743
34,20.72,14.844472738883457
35,13.12,9.404048534248153
36,10.34,7.408481725671656
37,20.16,14.450592073311958
38,19.35,13.870046982669551
39,18.79,13.458458741257408
40,20.82,14.92023870197774
41,10.48,7.5092331104049
42,18.85,13.500337637768833
43,24.17,17.311905600268936
44,22.27,15.959016852885307
45,23.6,16.907985473433946
46,21.87,15.67386243838072
47,11.39,8.1636908790992
48,15.53,11.126520684277459
49,20.36,14.59480657332474
50,22.27,15.95949145759551
51,17.82,12.773473606918232
52,11.82,8.46953919472723
53,12.17,8.723543028772893
54,17.82,12.767359939878107
55,13.719999999999999,9.83350473829502
56,17.06,12.223171826994284
57,9.94,7.123895766414823
58,19.84,14.22019319102047
59,7.779999999999999,5.5751266752154205
60,23.23,16.636501231402875
61,14.62,10.477177529868761
62,23.61,16.90482532221578
63,9.96,7.13836420728015
64,13.48,9.657477304933751
65,23.51,16.83741650963586
66,19.01,13.62548664589376
67,22.09,15.832826145381718
68,7.339999999999999,5.259534616375061
69,18.93,13.566852314780398
70,15.33,10.983467981000771
71,24.49,17.536579749632953
72,8.81,6.31316105477377
73,20.65,14.786693492888144
74,19.82,14.198055909044154
75,20.52,14.707974619456856
76,17.14,12.285606316568384
77,7.54,5.402653763665123
78,17.07,12.234162050769672
79,10.44,7.481226333231877
80,25.040000000000003,17.931702126738827
81,8.65,6.199087372406672
82,10.7,7.666954255877994
83,18.45,13.217178381210186
84,11.49,8.232633678039845
85,21.36,15.308712988513516
86,22.47,16.092185157164955
87,21.58,15.46728550577779
88,8.56,6.134402899511539
89,17.91,12.834948932533047
90,18.54,13.287708486468825
91,11.69,8.374911364709513
92,19.33,13.84267876343493
93,19.92,14.276773626386618
94,19.04,13.64330543167958
95,22.81,16.34474729898079
96,18.22,13.058942850450682
97,21.26,15.233424054686976
98,16.67,11.946209059620024
99,16.62,11.908965390077096
100,12.37,8.863603024411663
101,20.38,14.606923186421186
102,5.52,3.9567618886638987
103,9.63,6.900005598318941
104,16.63,11.913290075972567
105,6.070000000000001,4.351156230304464
106,21.82,15.636991802744186
107,8.47,6.07103873000722
108,19.29,13.824929448316995
109,21.69,15.543505581533623
110,21.12,15.136445624214575
111,21.39,15.329375660323308
112,22.88,16.392808282269407
113,22.62,16.206393827932438
114,21.68,15.537217146658236
115,14.16,10.149949927051047
116,11.69,8.377272462218711
117,20.85,14.93848845862169
118,23.48,16.82362274799892
119,11.51,8.247238200066603
120,21.4,15.333354202697809
121,20.35,14.585625376591365
122,17.84,12.789012973939286
123,20.72,14.849012324347463
124,11.2,8.024467976193407
125,24.85,17.798017905818952
126,10.24,7.336620441440784
127,11.88,8.512491802501328
128,22.21,15.917692396759643
129,16.45,11.78477825313873
130,22.45,16.08639256835444
131,18.7,13.394684404876909
132,20.24,14.505174358049679
133,9.05,6.48509676084527
134,24.02,17.206516990772336
135,19.98,14.318606079797762
136,22.53,16.143537220042468
137,21.12,15.138225929934503
138,10.44,7.481225921950022
139,20.8,14.895054482906684
140,11.94,8.553968189857942
141,25.27,18.10208506864773
142,22.48,16.106904852260183
143,12.96,9.285241401396464
144,22.67,16.24106863420981
145,11.94,8.555342976236929
146,10.14,7.26669520173501
147,7.85,5.625080844394158
148,16.67,11.945601708690727
149,9.19,6.5846443738914
150,9.26,6.635941385442729
151,20.8,14.908336741062167
152,16.36,11.72279241731504
153,8.66,6.205264787024869
154,15.029999999999998,10.772943288923038
155,15.520000000000001,11.117258676792058
156,14.99,10.741198955851146
157,21.31,15.27349847571873
158,22.81,16.342041539768594
159,9.92,7.10775765441469
160,10.32,7.395726916942189
161,6.85,4.909520075544469
162,18.53,13.281929425950624
163,24.81,17.772194758329828
164,17.67,12.665201658157352
165,21.04,15.079850839250565
166,21.8,15.612301090493863
167,21.36,15.30766513478396
168,20.45,14.657692308088112
169,4.53,3.2468908820851428
170,19.87,14.236918303697507
171,16.53,11.842103097817176
172,16.18,11.595032449950963
173,7.95,5.697593412640568
174,18.55,13.288941176154273
175,17.53,12.555006976565412
176,8.52,6.106486285824894
177,9.81,7.029894104757679
178,8.01,5.73934910514108
179,23.45,16.798520180164907
180,10.28,7.367016109672907
181,9.41,6.7437089937897525
182,11.25,8.062101354544192
183,10.44,7.482015004346292
184,22.69,16.259430189491
185,19.02,13.631047463548684
186,7.97,5.711450981552454
187,21.69,15.531474608402519
188,23.93,17.144458310269155
189,8.65,6.198468747765491
190,19.44,13.92920824980639
191,16.11,11.542166738158649
192,14.910000000000002,10.68403248168362
193,7.38,5.289000961098191
194,17.51,12.549065409581484
195,24.52,17.56069618296585
196,18.28,13.1008157561103
197,16.16,11.581898814024992
198,5.26,3.7697123849991754
199,15.16,10.863345770409216
200,18.91,13.548986331529957
201,20.74,14.866749310746098
202,13.59,9.73787108875089
203,13.64,9.773128186130627
204,9.31,6.672621684487911
205,20.92,14.993861205131331
206,16.15,11.569848263282752
207,24.5,17.55058742692632
208,19.86,14.234592757670463
209,19.58,14.034677865568119
210,9.37,6.715648182883206
211,10.17,7.287596418477438
212,11.22,8.039252098459267
213,17.44,12.491551892027593
214,12.43,8.908479488720193
215,22.84,16.36903167420668
216,23.57,16.88570356954378
217,17.54,12.562590106243617
218,21.62,15.49488991769488
219,20.91,14.988320091994654
220,7.900000000000001,5.663337012690404
221,18.18,13.029825889718802
222,22.36,16.022007371734123
223,12.02,8.61273223809251
224,13.91,9.97054124345251
225,12.500000000000002,8.956231639812774
226,11.08,7.941575819379781
227,21.52,15.41331378242845
228,21.75,15.580289909473162
229,13.54,9.702152363744265
230,9.08,6.506864584013366
231,20.78,14.89282220406221
232,15.54,11.134105956437436
233,20.18,14.463222400337768
234,24.34,17.43230188109216
235,19.48,13.962670061145811
236,21.9,15.683045550984746
237,12.73,9.122104366839881
238,20.29,14.531939118974119
239,16.24,11.635351046693403
240,20.14,14.434698069973546
241,9.67,6.929362840092467
242,13.55,9.70773113715695
243,21.43,15.359554213443706
244,10.66,7.638874055359933
245,21.44,15.361746334599163
246,12.92,9.259471043903899
247,20.43,14.643418224647103
248,13.02,9.330240809210029
249,13.779999999999998,9.875908916464939
250,9.4,6.735736872929931
251,6.93,4.966430597934714
252,18.83,13.495096420705122
253,15.06,10.787908429465334
254,20.04,14.36289798011378
255,8.19,5.869598899740277
256,23.14,16.582486420941148
257,18.1,12.962700802227927
258,11.55,8.2765694596546
259,5.86,4.200933452947032
260,15.79,11.317139555666152
261,14.81,10.613998956917609
262,17.21,12.330139373168338
263,23.8,17.054598564214203
264,12.76,9.142878101738914
265,12.19,8.73430478086266
266,18.03,12.922444856581793
267,6.45,4.622976755360972
268,21.19,15.186432093110783
269,20.38,14.605852795615025
270,12.799999999999999,9.171083433746917
271,11.82,8.47083871346048
272,25.69,18.403699387986276
273,15.500000000000002,11.107336328460265
274,23.19,16.616504861557086
275,13.82,9.902998972215176
276,16.14,11.561620353895627
277,13.9,9.959098245848924
278,17.04,12.209911346326255
279,11.91,8.535969025212852
280,18.8,13.47426512064899
281,5.89,4.221695119413361
282,16.51,11.832355991790969
283,12.59,9.022321706199394
284,21.72,15.561863040680016
285,20.48,14.670870294828514
286,14.27,10.225482658436155
287,10.31,7.389928072475314
288,23.19,16.613618678273635
289,19.67,14.09019513462601
290,12.42,8.899019711318612
291,19.2,13.759511722710414
292,17.24,12.355936564671198
293,19.76,14.149530112338596
294,9.82,7.036518406693047
295,9.22,6.606226850702899
296,20.49,14.685027690519087
297,21.43,15.356804431325944
298,22.6,16.1878287712587
299,20.74,14.855582334875486
300,20.94,15.010131992212871
301,20.84,14.933295420716245
302,21.32,15.279156812422343
303,19.82,14.205499216552239
304,20.6,14.75958313122309
305,19.0,13.60814607970017
306,24.13,17.27955337845305
307,16.05,11.498275534926929
308,10.35,7.416587526462153
309,20.53,14.709317105275222
310,8.03,5.753987450102377
311,15.039999999999997,10.778313217247291
312,7.31,5.239498942261193
313,18.82,13.483060419529245
314,21.81,15.632522095885705
315,20.48,14.676643788966265
316,14.350000000000001,10.281128070531091
317,11.29,8.090782946095082
318,15.15,10.853564899856247
319,22.74,16.282136556948704
320,11.27,8.074819231232002
321,8.51,6.099223925533712
322,13.139999999999999,9.414843238834324
323,15.91,11.400567925890558
324,21.17,15.173121211895719
325,11.98,8.584914663544046
326,19.82,14.204497204015482
327,21.13,15.144424020713453
328,9.62,6.892841723144234
329,24.99,17.900899500879287
330,18.87,13.522100500555148
331,15.579999999999998,11.161903161401261
332,21.16,15.157150507795343
333,21.07,15.099764100973326
334,18.79,13.461406173069383
335,15.91,11.398509104664374
336,16.22,11.621075071453383
337,6.240000000000001,4.472331720157874
338,8.07,5.782735516805041
339,19.8,14.190280414670186
340,7.6,5.446180643845853
341,13.749999999999998,9.85081705077877
342,12.96,9.288902411018258
343,15.569999999999999,11.154765142306164
344,19.52,13.986314908577507
345,14.45,10.35377020324128
346,20.74,14.86402630193349
347,7.82,5.603481203900341
348,17.61,12.615571517824357
349,20.08,14.390688771089936
350,13.129999999999999,9.406889812969583
351,12.01,8.604857731842246
352,11.03,7.902334905543165
353,11.44,8.196072071327796
354,9.64,6.908875752169012
355,9.03,6.470243770579801
356,21.03,15.069266906214697
357,21.28,15.252627803362788
358,20.81,14.914812998638059
359,16.61,11.9022165798593
360,10.9,7.810617333325089
361,19.6,14.041187267520296
362,11.93,8.548430519808864
363,21.14,15.151381506557442
364,19.66,14.090316388661668
365,20.48,14.678733884740456
366,21.75,15.587437442158627
367,24.56,17.597285926258603
368,7.94,5.6897748001009605
369,15.579999999999998,11.159613018819448
370,9.76,6.994532757164045
371,23.36,16.726482713900488
372,21.8,15.623688530109044
373,19.42,13.916405082729577
374,18.9,13.539226690547522
375,18.18,13.02206501451894
376,20.46,14.654875426844566
377,20.95,15.01355591548843
378,19.32,13.845848885887253
379,11.37,8.14598891139374
380,23.15,16.589190132098263
381,10.26,7.352347933683877
382,8.3,5.948894791777045
383,14.360000000000001,10.286458551920427
384,16.5,11.82328534842684
385,22.96,16.44754817002628
386,22.95,16.44393022727557
387,19.96,14.305933492019422
388,17.21,12.330941456301353
389,19.6,14.046936602530748
390,21.82,15.638489667991049
391,20.38,14.602265400394492
392,18.02,12.910056214880255
393,19.62,14.054477635056148
394,24.57,17.600250264427075
395,6.95,4.981443142630317
396,20.45,14.64724624601752
397,20.73,14.844077858534025
398,16.24,11.635465893453448
399,20.24,14.504977758672878
400,16.36,11.724959070625804
401,21.1,15.12182168761808
402,22.48,16.103828303071385
403,22.36,16.021981288107806
404,7.039999999999999,5.045156721867308
405,12.0,8.598714685502548
406,13.88,9.945323214521302
407,14.910000000000002,10.683344484028966
408,17.03,12.1970859229428
409,7.779999999999999,5.576042686740797
410,8.01,5.739640320876206
411,20.73,14.858420195933416
412,19.11,13.696957770952618
413,14.45,10.352997117493866
414,21.54,15.43773931949747
415,8.2,5.876139513644431
416,18.9,13.546181445702082
417,8.54,6.119834230063067
418,22.0,15.758977715564702
419,4.27,3.060479816464207
420,19.4,13.90392229872727
421,18.74,13.431012051127206
422,11.09,7.946485413235983
423,20.12,14.409716848649483
424,17.7,12.68475839091092
425,8.38,6.00686401658245
426,20.2,14.472901810694562
427,12.480000000000002,8.944853655166112
428,20.34,14.577849064805617
429,10.55,7.561066125947921
430,20.21,14.483404975551188
431,23.75,17.014614269605136
432,15.480000000000002,11.092534582923545
433,10.66,7.6384067882332225
434,13.070000000000002,9.365193267508548
435,14.000000000000002,10.031580697899853
436,20.44,14.65130504811099
437,20.78,14.893758784620774
438,22.32,15.995782229256926
439,22.64,16.222796237199034
440,24.25,17.366193058144386
441,11.16,7.9968568249212035
442,21.08,15.107153856153992
443,9.37,6.713690258847889
444,8.98,6.4351107251784585
445,7.039999999999999,5.044973393763821
446,17.99,12.892837807523515
447,20.16,14.448564274775032
448,17.14,12.282669662736886
449,20.42,14.63762109629409
450,9.92,7.108714636393859
451,26.92,19.278853157071048
452,14.62,10.473637415999434
453,22.22,15.922584181775463
454,23.72,16.99417545284587
455,9.8,7.022705944590401
456,21.58,15.458366928688793
457,20.37,14.598359357765778
458,7.54,5.404320026861362
459,18.97,13.595155070492403
460,22.87,16.388289360401675
461,7.24,5.189682598401084
462,7.97,5.710978809736675
463,22.16,15.883878602382099
464,14.79,10.600712127023343
465,19.73,14.131077527580809
466,20.61,14.769581713522527
467,19.67,14.099466712138428
468,11.61,8.317763033257128
469,25.45,18.22733110306192
470,20.52,14.697639071551833
471,21.33,15.28658734925761
472,12.67,9.076269491535768
473,22.05,15.78926892588327
474,18.85,13.509638249392033
475,9.88,7.0795577887170404
476,11.22,8.040974637265835
477,22.55,16.1597622631099
478,10.3,7.383540235809796
479,15.45,11.070018896692089
480,20.09,14.3973493349854
481,22.8,16.336824255327176
482,23.0,16.46936681205924
483,15.480000000000002,11.094419813061128
484,15.810000000000002,11.329305392339116
485,9.24,6.621361675992581
486,11.12,7.968965348648431
487,9.48,6.793757866379629
488,20.14,14.432171986595476
489,18.72,13.411506890810893
490,20.85,14.943412122365666
491,15.13,10.843359860957694
492,15.510000000000002,11.116674479917489
493,21.54,15.434973160840968
494,9.3,6.66588909149987
495,11.24,8.053273387694857
496,20.58,14.751337738320984
497,8.27,5.926433126148268
498,15.43,11.056635257843489
499,16.45,11.785055151600274
500,14.699999999999998,10.53481232246852
501,19.85,14.214167899691677
502,10.22,7.322905028158612
503,18.02,12.916153169501372
504,20.46,14.66096800803604
505,11.5,8.241554859166056
506,8.68,6.219230697535224
507,12.33,8.836907029345516
508,17.37,12.44735052012806
509,11.16,7.997725035044068
