Instance,WS10M_RANGE_Actual,WS10M_RANGE_Predicted
1,3.8299999999999996,2.71979306921895
2,7.559999999999999,5.368710261906687
3,4.55,3.2315067389199466
4,4.1,2.911921640448678
5,3.8,2.6988748960154334
6,3.41,2.421860001394986
7,4.33,3.0753205555107757
8,4.74,3.366140394504175
9,2.74,1.9461618523854491
10,5.059999999999999,3.5937049000505077
11,4.04,2.8688677188666305
12,3.24,2.301131444234478
13,2.86,2.031226717650958
14,5.11,3.6292872426553537
15,3.3,2.3438068099746068
16,5.419999999999999,3.8492862958195477
17,4.82,3.4230666527146263
18,3.9900000000000007,2.8332994469060826
19,3.1,2.201696978876431
20,2.47,1.7542882644517082
21,3.64,2.5849433255773357
22,5.129999999999999,3.643372167892903
23,3.69,2.620511409338108
24,4.68,3.3238660366839197
25,3.05,2.1662406711614186
26,4.4,3.124989331808759
27,5.27,3.7429306823128368
28,4.65,3.3024237174031383
29,3.71,2.634936788831024
30,3.59,2.549716636034096
31,3.9,2.769955496370601
32,3.23,2.2939089747395
33,3.37,2.3932990460129284
34,4.73,3.3592489714598828
35,3.41,2.4217508793299793
36,5.279999999999999,3.7492494274668986
37,2.88,2.0455476159468255
38,2.75,1.9531797334739291
39,5.569999999999999,3.955460225151063
40,2.97,2.1094417709109896
41,3.28,2.32912823743268
42,5.41,3.8418220965934475
43,5.27,3.742680625231959
44,4.3,3.0540218797364025
45,4.26,3.025521234574991
46,3.49,2.478802252053849
47,2.75,1.9529129926772772
48,3.29,2.336396832387429
49,2.95,2.0952917957039072
50,3.85,2.734455958616357
51,2.42,1.7188864806857056
52,2.4,1.704335194178737
53,3.72,2.6418854642941207
54,4.23,3.003994274137875
55,3.7,2.6275950929296448
56,5.21,3.699912360459557
57,2.56,1.8179417416744081
58,2.53,1.796947924129812
59,3.55,2.5206447485238463
60,4.849999999999999,3.4443092164636755
61,3.0,2.1305369286760487
62,4.779999999999999,3.394496821724336
63,3.87,2.7481508605913585
64,4.45,3.159957446182892
65,4.17,2.9614512582957744
66,3.8299999999999996,2.7202303397972916
67,3.38,2.400668005109465
68,3.69,2.620097969969033
69,2.73,1.9389836041756607
70,3.56,2.528136898218132
71,5.9,4.190062931570066
72,4.33,3.0746637430736703
73,8.5,6.0360183068866995
74,4.26,3.0252907923505568
75,3.49,2.478889012550392
76,2.22,1.5768069941930052
77,3.63,2.5774240463662754
78,2.72,1.9318282537727525
79,3.8299999999999996,2.7197877083284667
80,4.72,3.352141996818884
81,3.62,2.5705415734907247
82,2.79,1.9812757439203772
83,5.44,3.863139327985018
84,4.8,3.408459859574111
85,3.87,2.7486805794121643
86,4.81,3.415862585531605
87,4.37,3.103807901246384
88,3.66,2.5989872038357404
89,3.45,2.4502420513439955
90,3.9,2.7698803516799195
91,4.95,3.514995325534881
92,5.78,4.104516963360907
93,2.51,1.7827371595309423
94,3.67,2.606431410591825
95,5.259999999999999,3.735876821960276
96,4.15,2.947445274805502
97,4.789999999999999,3.4019167191979958
98,4.13,2.9330825454011618
99,3.8299999999999996,2.7200206812143297
100,4.33,3.0748895140469137
101,3.63,2.5782205193957193
102,2.55,1.8107121303221885
103,4.03,2.861678796327413
104,4.9799999999999995,3.536562243283377
105,4.34,3.0820384268638157
106,4.86,3.4517152941138662
107,3.13,2.222657151160825
108,2.97,2.1093819192856564
109,5.449999999999999,3.8707145893125388
110,4.37,3.103779665580061
111,3.77,2.677571643951381
